place,Top5,무료,혜택,친환경,추천,식재료,제주산,에너지,환경,비건,야경
5L2F(오엘이에프),"['커피', '분위기', '카페', '친절', '방문']",0,0,0,2,0,0,0,0,0,0
서홍정원,"['케이크', '카페', '커피', '주차', '분위기']",0,0,0,6,0,0,0,0,0,0
스물다섯,"['사장', '카페', '분위기', '친절', '커피']",0,0,0,0,0,0,0,1,0,0
컴플리트커피 연동점,"['커피', '사람', '카페', '최고', '디저트']",0,0,0,2,0,0,0,0,0,0
시루애월,"['분위기', '음식', '브런치', '커피', '가격']",0,0,0,2,0,0,0,0,0,0
인스밀,"['카페', '보리', '직원', '사람', '사진']",0,0,0,2,0,0,0,0,0,0
스타벅스 제주노형점,"['친절', '제주', '직원', '음료', '스타벅스']",0,0,0,0,0,0,0,1,0,0
Pickus 피커스,"['커피', '주차장', '자리', '음식', '주차']",0,0,0,0,0,0,0,0,0,0
제주설심당 본점,"['빙수', '바다', '설빙', '매장', '가격']",0,0,0,0,0,0,0,0,0,0
듀포레,"['카페', '커피', '친절', '직원', '비행기']",0,0,0,5,0,0,0,0,0,0
ABC베이커리,"['친절', '소금', '커피', '버터', '아메리카노']",0,0,0,4,0,0,0,0,0,0
모카다방,"['사장', '커피', '친절', '카페', '강아지']",0,0,0,5,0,0,0,0,0,0
호텔샌드,"['음료', '분위기', '가격', '디저트', '인테리어']",0,0,0,3,0,0,0,0,0,0
그리울땐제주,"['카페', '사장', '친절', '커피', '케익']",0,0,0,7,0,0,0,0,0,0
카페블루하우스 올레시장점,"['밀크티', '타르트', '홍콩', '에그', '커피']",0,0,0,6,0,0,0,0,0,0
스타벅스 제주칠성점,"['친절', '케이크', '프라푸치노', '제주', '아이스']",0,0,0,1,0,0,0,0,0,0
스타벅스 제주송악산점,"['송악산', '친절', '커피', '스타벅스', '제주']",0,0,0,0,0,0,0,0,0,0
신산리마을카페,"['녹차', '아이스크림', '카페', '가격', '올레길']",0,0,0,5,0,0,0,1,0,0
미엘드세화,"['당근', '케이크', '커피', '케익', '사장']",0,0,0,2,0,0,0,0,0,0
동박낭,"['사진', '커피', '카페', '입장료', '사람']",2,0,0,2,0,0,0,0,0,0
윈드스톤,"['커피', '아몬드', '카페', '분위기', '친절']",0,0,0,2,0,0,0,1,0,0
73st,"['음료', '카페', '직원', '친절', '음식']",0,0,0,0,0,0,0,0,0,2
풍미독서,"['버거', '친절', '새우', '샐러드', '가격']",0,0,0,1,0,0,0,0,0,0
선흘,"['브런치', '음식', '주문', '식사', '친절']",0,0,0,0,0,0,0,0,0,0
스타벅스 제주시청점,"['친절', '직원', '위치', '음료', '얼음']",0,0,0,0,0,0,0,0,0,0
카페유주,"['친절', '디저트', '분위기', '사장', '강아지']",1,0,0,4,0,0,0,0,0,0
달자카페,"['커피', '가격', '음료', '친절', '카페']",0,0,0,0,0,0,0,0,0,0
그레이그로브,"['분위기', '커피', '스콘', '카페', '음료']",0,0,0,1,0,0,0,0,0,0
바다위에코끼리,"['케이크', '당근', '친절', '커피', '사장']",0,0,0,0,0,0,0,0,0,0
바라나시책골목,"['분위기', '친절', '인도', '공간', '밀크티']",0,0,0,1,0,0,0,0,0,0
누옥,"['커피', '카페', '타르트', '분위기', '에그']",0,0,0,1,0,0,0,0,0,0
동명정류장,"['사장', '친절', '카페', '사진', '음료']",0,0,0,3,0,0,0,0,0,0
알마커피제작소,"['커피', '친절', '사장', '카페', '분위기']",0,0,0,5,0,0,0,0,0,0
노바운더리 제주,"['커피', '방문', '프라스틱', '카페', '플라스틱']",0,0,0,1,0,0,0,0,0,0
간세라운지,"['올레길', '상징', '세가', '이유', '게으름']",0,0,0,0,0,0,0,0,0,0
모앙,"['디저트', '불편', '커피', '자리', '사람']",0,0,0,0,0,0,0,0,0,0
회춘 애월점,"['가격', '음료', '직원', '커피', '디저트']",0,0,0,1,0,0,0,0,0,0
서귀피안베이커리,"['커피', '직원', '음료', '가격', '친절']",0,0,0,3,0,0,0,0,0,0
디피159,"['카페', '친절', '가격', '사장', '커피']",0,0,0,1,0,0,0,0,0,0
스타벅스 제주외도DT점,"['친절', '직원', '주문', '음료', '생각']",0,0,0,0,0,0,0,0,0,0
사일리커피,"['커피', '카페', '분위기', '사장', '친절']",0,0,0,9,0,0,0,0,0,0
에이바우트커피 한라대점,"['커피', '샐러드', '음료', '메뉴', '주문']",0,0,0,0,0,0,0,0,0,0
카카듀,"['빙수', '녹차', '가격', '아이스크림', '손님']",0,0,0,1,0,0,0,0,0,0
이에르바,"['테이블', '커피', '불편', '분위기', '위치']",0,0,0,0,0,0,0,0,0,0
무로이,"['커피', '분위기', '인테리어', '친절', '주차']",0,0,0,2,0,0,0,0,0,0
조아찌커피,"['커피', '사장', '분위기', '친절', '카페']",0,0,0,1,0,0,0,0,0,0
커피99.9,"['커피', '자몽', '분위기', '사장', '카페']",0,0,0,4,0,0,0,0,0,0
롱플레이제주,"['커피', '사람', '친절', '예약', '방문']",0,0,0,0,0,0,0,0,0,0
너와의첫여행,"['카페', '사진', '음료', '사장', '커피']",0,0,0,2,0,0,0,0,0,0
인카페온더비치,"['카페', '바다', '사장', '커피', '친절']",0,0,0,2,0,0,0,0,0,0
바람벽에흰당나귀,"['빙수', '말차', '커피', '화장실', '바다']",0,0,0,4,0,0,0,0,0,0
델문도 로스터스,"['커피', '직원', '문도', '친절', '갤러리']",0,0,0,0,0,0,0,0,0,0
카페희상,"['커피', '분위기', '카페', '친절', '사장']",0,0,0,3,0,0,0,0,0,0
순아,"['친절', '사장', '커피', '음료', '분위기']",0,0,0,2,0,0,0,0,0,0
속솜,"['수플레', '사장', '친절', '음료', '카페']",0,0,0,2,0,0,0,0,0,0
카페주비,"['카페', '분위기', '디저트', '친절', '음료']",0,0,0,1,0,0,0,0,0,0
그러므로,"['메리', '커피', '이유', '에스프레소', '제주']",0,0,0,0,0,0,0,0,0,0
인디고인디드,"['카페', '분위기', '커피', '바다', '음료']",0,0,1,2,0,0,0,1,0,0
우호적무관심,"['커피', '카페', '인테리어', '사진', '분위기']",0,0,0,3,0,0,0,0,0,0
하라케케,"['커피', '사진', '카페', '스타', '사람']",0,0,0,3,0,0,0,0,0,0
카페바르941,"['에이드', '티라미수', '한라봉', '친절', '카페']",0,0,0,3,0,0,0,0,0,0
플레이스엉물,"['당근', '커피', '분위기', '카페', '인테리어']",0,0,0,6,0,0,0,0,0,0
씨리얼,"['브런치', '가격', '친절', '메뉴', '방문']",1,0,0,1,0,0,0,0,0,0
오버더윈도우,"['커피', '사장', '친절', '크림', '콘센트']",0,0,0,4,0,0,0,0,0,0
다랑쉬,"['커피', '카페', '인테리어', '건물', '분위기']",0,0,0,2,0,0,0,0,0,0
커피주의보,"['케이크', '브라우니', '최고', '커피', '친절']",0,0,0,1,0,0,0,0,0,0
너븐,"['공간', '커피', '카페', '직원', '사진']",0,0,0,3,0,0,0,0,0,0
바램,"['먹이', '음료', '입장료', '가격', '양도']",0,0,0,1,0,0,0,0,0,0
말리가,"['밀크티', '홍차', '친절', '최고', '카페']",0,0,0,1,0,0,0,0,0,0
시인의집,"['바다', '카페', '시집', '분위기', '방문']",0,0,0,0,0,0,0,0,0,0
숑,"['카페', '사장', '분위기', '친절', '초코']",0,0,0,8,0,0,0,0,0,0
카페닐스,"['커피', '분위기', '사장', '친절', '맛집']",0,0,0,2,0,0,0,0,0,0
카페유디에이,"['커피', '제주', '카페', '음료', '의자']",0,0,0,2,0,0,0,0,0,0
과수원피스,"['감귤', '음료', '체험', '분위기', '카페']",1,0,0,3,0,0,0,0,0,0
먹쿠슬낭여행자카페,"['망고', '빙수', '애플', '친절', '메뉴']",0,0,0,0,0,0,0,0,0,0
귤꽃다락,"['사진', '음료', '카페', '디저트', '양갱']",0,0,0,6,0,0,0,0,0,0
스타벅스 제주신화월드R점,"['친절', '리저브', '매장', '커피', '메뉴']",0,0,0,1,0,0,0,0,0,0
까미노,"['커피', '카페', '친절', '사장', '공간']",0,0,0,4,0,0,1,0,0,0
스타벅스 제주노형공원점,"['친절', '제주', '직원', '주차장', '지점']",0,0,0,0,0,0,0,0,0,0
카페세바,"['카페', '분위기', '보리', '커피', '세바']",0,0,0,1,0,0,0,0,0,0
하소로커피,"['커피', '가격', '로스팅', '리라', '스콘']",0,0,0,2,0,0,0,0,0,0
동백정원,"['분위기', '커피', '친절', '카페', '여름']",0,0,0,1,0,0,0,0,0,0
카페더라이트,"['커피', '카페', '음료', '성산', '일출봉']",0,0,0,4,0,0,0,0,0,0
색달로망스,"['디저트', '커피', '가을', '카페', '케이크']",0,0,0,0,0,0,0,0,0,0
카페두가시,"['케이크', '커피', '카페', '친절', '정원']",0,0,0,1,0,0,0,0,0,0
카페2472,"['카페', '커피', '친절', '분위기', '음료']",1,0,0,1,0,0,0,0,0,0
"오른(orrrn,오알엔)","['커피', '카페', '디저트', '음료', '맛집']",0,0,0,1,0,0,0,0,0,0
살롱드라방,"['커피', '분위기', '케익', '친절', '방문']",0,0,0,1,0,0,0,0,0,0
노을리카페,"['카페', '커피', '음료', '노을', '직원']",0,0,0,4,0,0,0,0,0,0
모찌롱 (휴업중),"['다쿠아즈', '방문', '영업', '안달', '테이크아웃']",0,0,0,0,0,0,0,0,0,0
카페오드리,"['커피', '사장', '친절', '카페', '분위기']",0,0,0,0,0,0,0,0,0,0
블루모모,"['스프', '가격', '치킨', '보리', '샌드위치']",0,0,0,2,0,0,0,0,0,0
카페훤,"['커피', '카페', '사장', '친절', '바다']",0,0,0,2,0,0,0,0,0,0
카페살레,"['땅콩', '아이스크림', '우도', '카페', '친절']",0,0,0,3,0,0,0,0,0,0
오늘도화창,"['당근', '케이크', '사장', '카페', '친절']",0,0,0,3,0,0,0,0,0,0
제주몹시,"['카페', '한라봉', '샌드위치', '바다', '커피']",0,0,0,1,0,0,0,0,0,0
카페송키,"['사장', '카페', '인테리어', '친절', '커피']",0,0,0,0,0,0,0,0,0,0
리치망고 애월본점,"['망고', '냉동', '라씨', '주스', '사진']",0,0,0,1,0,0,0,0,0,0
에이바우트커피 신라신성점,"['커피', '직원', '친절', '가격', '카페']",0,0,0,0,0,0,0,0,0,0
위더스트래블 아라점,"['브런치', '메뉴', '음식', '가격', '커피']",0,0,0,1,0,0,0,0,0,0
투썸플레이스 제주애월한담점,"['카페', '매장', '주차', '커피', '주차장']",2,0,0,0,0,0,0,0,0,0
