place,address,Latitude,Longitude,category,k_means_cluster,인기지수,환경,친환경
월령선인장군락지,제주특별자치도 제주시 한림읍 월령리 359-4,33.3778628,126.2154709,관광지,0,0.2585103867506825,0,0
소인국테마파크,제주특별자치도 서귀포시 안덕면 중산간서로 1878,33.2904213,126.322602,관광지,0,0.1522652643744605,0,0
제주4.3평화공원,제주특별자치도 제주시 명림로 430,33.4505801,126.6181207,관광지,3,0.3218559218559219,0,0
제주중문관광단지,제주특별자치도 서귀포시 중문동 2624-1,33.2457545,126.4205964,관광지,0,0.1213066895764663,0,0
안덕계곡,제주특별자치도 서귀포시 안덕면 감산리 1946,33.2563654,126.3518369,관광지,0,0.0768120565236407,0,0
사라봉,제주특별자치도 제주시 건입동 387-1,33.5180564,126.5460544,관광지,3,0.2982394198415163,0,0
동백포레스트,제주특별자치도 서귀포시 남원읍 생기악로 53-38,33.2974308,126.6375449,관광지,2,0.1857959641356009,0,0
쇠소깍관광지,제주특별자치도 서귀포시 하효동,33.2575864,126.6188654,관광지,2,0.0287827634072484,0,0
바운스슈퍼파크제주센터,제주특별자치도 제주시 연사6길 61 1층,33.4857156,126.5082014,관광지,3,0.081769776311126,0,0
저지오름,제주특별자치도 제주시 한경면 저지리 산 51,33.3330097,126.2509518,관광지,0,0.2238812847589172,0,0
서프라이즈테마파크,제주특별자치도 제주시 조천읍 남조로 2243,33.4845921,126.6554822,관광지,3,0.2611997450850191,0,0
교래자연휴양림,제주특별자치도 제주시 조천읍 남조로 2023,33.4486627,126.6589493,관광지,3,0.2296256648257232,0,0
추자도,제주특별자치도 제주시 추자면 묵리,33.9486489,126.3142954,관광지,3,0.1890239881187707,0,0
닭머르,제주특별자치도 제주시 조천읍 신촌리 3403,33.5377171,126.6131171,관광지,3,0.2425259472952793,0,0
박수기정,제주특별자치도 서귀포시 안덕면 감산리,33.2484955,126.3509503,관광지,0,0.1920103570992887,0,0
어승생,제주특별자치도 제주시 해안동 산 220-12,33.3835708,126.5068024,관광지,3,0.2845873638312773,0,0
혼인지,제주특별자치도 서귀포시 성산읍 온평리 1693,33.4149305,126.8941019,관광지,1,0.2809430162069402,0,0
액티브파크,제주특별자치도 제주시 한림읍 금능남로 76,33.3683483,126.2446125,관광지,0,0.2429217385436729,0,0
하도해변,제주특별자치도 제주시 구좌읍 하도리,33.5149849,126.8817696,관광지,1,0.1929530786673643,0,0
삼성혈,제주특별자치도 제주시 삼성로 22,33.5047027,126.529358,관광지,3,0.1856432818092099,0,0
지미봉,제주특별자치도 제주시 구좌읍 종달리 산 3-1,33.4880673,126.8804954,관광지,1,0.2474430633633787,0,0
제주코코몽에코파크,제주특별자치도 서귀포시 남원읍 태위로 536,33.2746312,126.7058491,관광지,2,0.1202452038714948,0,0
물영아리,제주특별자치도 서귀포시 남원읍 수망리 산 188,33.3680602,126.692221,관광지,2,0.2250311835002214,0,0
일출랜드,제주특별자치도 서귀포시 성산읍 중산간동로 4150-30,33.3835243,126.8413634,관광지,1,0.1073725326277401,0,0
별방진,제주특별자치도 제주시 구좌읍 하도리 3354,33.5261207,126.8843802,관광지,1,0.188307426069558,0,0
마방목지,제주특별자치도 제주시 516로 2480,33.4453264,126.5663685,관광지,3,0.1283491799483952,0,0
엉덩물계곡,제주특별자치도 서귀포시 색달동 3384-4,33.2814107,126.4111118,관광지,0,0.1308656042670962,0,0
동백동산,제주특별자치도 제주시 조천읍 선흘리 산 12,33.5170339,126.7176118,관광지,1,0.207956376282475,0,0
백록담,제주특별자치도 서귀포시 토평동 산 15-1,33.3468318,126.5364535,관광지,2,0.3358085903952259,0,0
용연계곡,제주특별자치도 제주시 용담일동 2581-4,33.5125972,126.5144321,관광지,3,0.2265144694023514,0,0
곶자왈,제주특별자치도 서귀포시 대정읍 에듀시티로 178,33.279349,126.2763069,관광지,0,0.1025078671376165,0,0
서귀다원,제주특별자치도 서귀포시 516로 717,33.3126399,126.5967027,관광지,2,0.074229876626376,0,0
유채꽃프라자,제주특별자치도 서귀포시 표선면 녹산로 464-65,33.390274,126.732908,관광지,1,0.1886909720690799,0,0
검멀레해변,제주특별자치도 제주시 우도면 연평리,33.5033191,126.9556775,관광지,1,0.2291339449656029,0,0
우도산호해변,제주특별자치도 제주시 우도면 연평리,33.5033191,126.9556775,관광지,1,0.2692575995009611,0,0
수월봉전망대,제주특별자치도 제주시 한경면 고산리 3760,33.294755,126.1634484,관광지,0,0.1414351694957981,0,0
산양큰엉곶,제주특별자치도 제주시 한경면 청수리 956-6,33.2908356,126.2501278,관광지,0,0.1175315793186739,0,0
