CL_NM,TRRSRT_NM,ADDR,AVERAGE_VISITOR
테마관광,제주조각공원,서귀포시 안덕면 일주서로 1836,7.9
테마관광,제주해양동물박물관,서귀포시 성산읍 서성일로 689-21,19.3
테마관광,초콜릿랜드,서귀포시 중문관광로110번길 15,4
테마관광,카멜리아힐,서귀포시 안덕면 병악로 166,624.4
테마관광,캐릭파크,제주시 조천읍 선교로 266,5
테마관광,테디베어뮤지엄제주,서귀포시 중문관광로110번길 31,103.2
테마관광,피규어뮤지엄,서귀포시 안덕면 한창로 243,30.2
테마관광,하모씨워킹,서귀포시 대정읍 최남단해안로 120,3.4
테마관광,한림공원,제주시 한림읍 한림로 300,75.5
테마관광,허브동산,서귀포시 표선면 돈오름로 170,17.1
테마관광,헬로키티아일랜드,서귀포시 안덕면 한창로 340,49.7
테마관광,화조원,제주시 애월읍 애원로 804,47.8
