place,address,Latitude,Longitude
시흥해녀의집,제주특별자치도 서귀포시 성산읍 시흥하동로 114,33.4779795,126.9083492
도갈비,제주특별자치도 제주시 한라대학로 85 1층,33.4765167,126.479361
포도원흑돼지,제주특별자치도 제주시 1100로 3155,33.4681983,126.4847601
낭쿰낭쿰,제주특별자치도 서귀포시 중앙로79번길 4 1층 낭쿰낭쿰,33.2516805,126.5608349
홍성방,제주특별자치도 서귀포시 대정읍 하모항구로 76,33.220115,126.2517883
낭뜰에쉼팡,제주특별자치도 제주시 조천읍 남조로 2343,33.4735321,126.6571882
돈사돈 별관,제주특별자치도 제주시 광평동로 15 1층,33.4816791,126.470795
잇칸시타,제주특별자치도 제주시 애월읍 신엄안2길 54-1,33.4770905,126.3699554
형제도식당 본점,제주특별자치도 서귀포시 일주서로 915 형제도식당 본점,33.2584326,126.4353135
논짓물,제주특별자치도 제주시 신대로12길 41,33.4886496,126.4922457
정직한돈 협재직영점,제주특별자치도 제주시 한림읍 일주서로 5083 2층,33.389078,126.2504324
남양수산,제주특별자치도 서귀포시 성산읍 고성동서로56번길 11,33.4501348,126.9142244
칠돈가 서광직영점,제주특별자치도 서귀포시 안덕면 서광사수동로20번길 27 1층,33.2874033,126.3042052
램앤블랙 (구.램하우스),제주특별자치도 제주시 조천읍 교래1길 45,33.4362496,126.6736319
서서방숯불닭갈비,제주특별자치도 제주시 신광로 61 1층,33.486651,126.4903307
태하횟집,"제주특별자치도 제주시 동한두기길 31-2 1, 2층",33.5166474,126.5152928
노조미,제주특별자치도 제주시 국기로2길 2-3 1층,33.4795149,126.4903136
제주예찬,제주특별자치도 제주시 1100로 2997 1층,33.4561511,126.48637
표선우동가게,제주특별자치도 서귀포시 표선면 표선관정로 105-1,33.3240774,126.8314
선흘곶,제주특별자치도 제주시 조천읍 동백로 102,33.5081874,126.718049
돌집식당,제주특별자치도 서귀포시 표선면 서성일로 23,33.3940309,126.8006415
제주돗,제주특별자치도 제주시 한경면 조수2길 34,33.3324683,126.2311173
