place,insta,Naver_rate,Naver_review_num,kakao_rate,kakao_review_num
도바나,618,0.0,0,4.8,57
도을,"1,326",0.0,261,4.6,19
60빈스,525,4.35,740,3.8,42
꼬스뗀뇨,"5,672",0.0,968,4.5,30
오라디오라,"1,767",4.41,335,4.1,39
트로피컬하이드어웨이브런치카페,19,4.49,76,4.2,37
스테이솔티,"1,674",4.4,462,3.9,25
아라파파북촌점,241,0.0,0,3.9,26
차귀놀,"1,119",4.47,236,4.7,31
스타벅스서귀포올레점,21,0.0,836,4.0,13
코데인커피로스터스,"1,219",4.64,124,4.8,67
카페빠네띠에,718,4.55,376,4.0,42
단정한까페,"1,014",4.64,108,4.7,34
우연히그곳,"4,495",0.0,5,4.5,62
제주901,"4,125",0.0,27,4.6,23
비양놀,"3,927",4.59,613,4.5,48
엘리사,"8,435",0.0,0,5.0,8
카페루핀,"3,709",4.83,136,4.8,58
스타벅스제주에듀시티점,15,4.44,1432,3.5,13
간이옥돔역(휴업중),0,0.0,0,3.7,18
디뷰,619,4.9,202,4.7,12
수카사,"5,902",0.0,0,4.3,44
꽃향유,"9,209",0.0,0,4.4,22
미미슈,"3,699",0.0,569,3.9,10
하늘꽃카페,"1,651",4.54,728,4.2,33
유스커피,"4,090",4.6,144,4.5,24
거인의정원,"3,889",4.51,112,4.4,8
제이아일랜드카페,"1,520",4.65,274,4.2,44
이공팔오,501,0.0,410,4.2,30
올디벗구디,"3,498",4.65,184,4.2,38
카페갤러리,"8,307",0.0,88,3.5,15
피플카페,972,4.39,374,4.6,43
카페원웨이,"6,261",4.65,243,4.6,35
걸어가는늑대들전이수갤러리,0,4.9,1734,4.8,45
하우스레서피당근케이크,357,4.2,375,3.5,40
애월후식,"1,956",0.0,219,4.5,55
레이지박스,"3,293",4.45,209,3.5,17
효은양갱,"10,166",4.37,255,3.7,15
리유니온,"6,083",4.26,106,4.5,47
귤당리,"1,429",4.86,981,4.3,27
너는파라다이스길리,"10,289",4.66,295,4.6,51
그루브,"167,403",0.0,0,4.3,76
몽그레월정리점,38,0.0,624,4.7,50
감저,814,0.0,0,4.6,47
메이비,"21,901",0.0,0,4.5,25
카페제주동네,844,4.64,246,4.2,27
헬로남생이,"1,566",4.37,380,4.1,12
탐앤탐스신제주점,0,4.35,303,3.9,7
밀팟제주,357,0.0,92,4.7,20
브릭스제주,"8,124",4.7,13,4.0,22
카페소금,"3,269",4.51,250,4.0,29
카페갤럭시아,"1,695",4.69,1111,3.9,20
제주함덕카페라라떼커피,0,0.0,336,4.8,87
꼬라지오,"2,047",4.87,719,4.9,35
인터포레스트,"1,064",4.74,367,4.4,26
미리로,254,4.56,359,4.4,21
컴컴제주,"3,383",4.44,222,3.9,32
네꼬야티하우스,"1,360",4.45,217,4.6,37
스타벅스신제주이마트점,37,4.46,2200,3.9,24
카페파람,"1,578",4.42,53,4.1,22
공생,"15,407",0.0,0,4.7,35
카페마니,"21,029",4.57,264,4.0,49
카페뚜이,"1,592",4.58,296,4.8,88
카페팀블로우,709,4.57,548,4.6,50
히아담,"2,168",0.0,118,4.8,6
트라이브신창점,21,0.0,13,4.8,24
커핏,682,0.0,0,4.6,47
어반정글그레이밤부,"2,030",0.0,631,4.0,19
슬로보트아뜰리에,"1,086",4.69,526,4.7,68
윤재커피,"1,345",4.9,472,5.0,81
니나수족욕카페,308,4.65,79,4.3,10
니모스토리,"2,080",4.83,297,3.8,14
로스트&헤븐,0,0.0,0,3.9,18
카페책자국,"1,917",4.59,105,4.9,37
꽁떼네도르,"2,165",0.0,0,4.7,28
카페오놀,"1,050",0.0,365,4.3,22
식빵가게,855,0.0,0,4.5,10
토토네,"3,634",0.0,0,4.5,45
화수목,"19,278",0.0,0,4.8,28
베터플랫,277,4.49,83,3.5,15
안녕토르,"1,826",4.63,87,4.7,38
토끼썸,"5,011",4.55,131,4.8,36
오후다섯시두가지착각조차도,"1,966",4.59,644,4.4,45
카페이시도르,"1,161",4.56,512,4.9,18
에이바우트커피삼무공원점,18,4.33,562,3.9,17
관심사,"31,889",0.0,126,4.8,97
게우지코지인갤러리커피하우스,0,0.0,0,4.1,30
왓섬,"2,290",4.54,97,4.2,6
페어리제주,"2,072",4.43,251,4.4,16
폴바셋제주아라DT점,0,4.45,3527,4.2,33
해거름전망대카페,452,4.72,156,4.1,39
주네가네키친앤카페,468,0.0,0,4.5,23
픽스커피화북공단점,0,0.0,0,4.0,25
술의식물원,"2,357",4.59,178,4.0,26
88로스터즈,339,4.72,146,4.5,43
플레이커피랩,"3,064",4.52,179,4.4,52
오르바,"1,288",4.56,822,4.7,90
바미아일랜드,"2,807",4.42,633,4.0,41
보라지붕,"2,191",4.85,1308,4.5,82
폴바셋제주용담DT점,0,0.0,1059,4.1,14
커피가게쉬고가게,879,0.0,244,3.7,20
카페쌀쌀,"2,725",4.46,419,4.0,21
초가헌,"1,442",4.53,338,4.8,31
도리화과,"3,009",0.0,125,4.1,17
카페정관헌,385,4.53,163,4.5,22
간세다리족욕카페,43,4.68,82,4.8,33
잔디공장,"23,329",4.59,181,4.4,50
카페사우다드,435,4.49,93,4.7,30
유티피커피,"1,430",0.0,0,4.6,22
제주소담,200,3.94,34,4.4,32
우연못,"2,715",4.68,185,4.4,27
가파도봄날에,41,4.48,194,4.8,5
이스틀리,"3,440",0.0,0,4.1,36
블라썸1407,"3,779",4.39,190,3.7,7
다카포카페,808,4.62,260,4.5,11
카페단단,"1,759",4.82,153,4.8,54
커피동굴,"1,801",0.0,1,4.8,29
카페지니,"5,530",4.43,443,3.9,25
레드브라운,"74,806",0.0,0,4.9,27
어글리딜리셔스,"4,123",4.46,230,4.1,34
딜레탕트,"2,965",4.92,484,4.9,67
감따남,"9,121",4.5,288,4.4,14
종달리746,"3,377",4.83,292,4.8,79
해비치불턱,196,4.13,304,3.7,37
목장카페밭디,"2,364",0.0,475,4.8,13
리치망고쇠소깍점,665,4.39,146,4.0,16
바다는안보여요,"4,353",4.53,90,4.3,35
플라이오조,"1,545",4.63,206,4.3,22
안녕구움,"1,587",4.66,53,4.7,37
나비정원,"10,227",4.58,160,4.5,33
아뽀밍고,"3,381",4.64,466,4.3,22
논짓물해수족욕카페,456,4.53,310,4.3,11
페이보리오리,"2,456",4.68,143,4.7,25
슈가탱크,"9,241",4.61,393,4.5,44
할로비치본점,575,0.0,0,3.8,4
고도,"7,033",0.0,0,4.8,38
산노루,"6,650",4.48,644,4.2,99
팡송,"1,150",4.81,258,4.6,37
초이당,"1,250",4.46,524,3.6,17
따소롬,"1,566",4.79,222,4.8,39
유람위드북스,"9,910",4.91,210,4.9,23
카페세러데이아일랜드,761,4.53,528,3.9,19
무상찻집(휴업중),0,0.0,0,4.7,66
소길다방,906,0.0,180,5.0,19
제주몽,812,0.0,0,4.3,29
카페을리,"2,639",4.57,346,4.2,32
에이바우트커피종합청사점,19,4.33,300,5.0,1
나이체,"1,202",4.9,139,4.8,38
에이바우트커피올레시장점,33,4.33,488,3.8,11
제주기와,"3,055",4.84,991,3.7,27
카페가드니아,966,4.59,135,4.6,12
헤이피피,"1,111",4.56,165,4.2,19
카페물결,991,4.63,252,3.8,13
제3공간,"2,727",4.58,77,4.6,12
제대가는길,"1,904",4.45,315,4.1,37
일월선셋비치,"3,861",4.37,640,3.7,15
오드랑베이커리,"15,945",4.5,9944,4.2,413
애월빵공장앤카페,951,4.35,4096,4.4,304
하멜,"6,029",4.55,1772,3.8,99
빵귿,"4,502",4.53,1171,4.2,113
덕인당보리빵,"1,297",4.39,1540,3.8,80
보래드베이커스,"6,426",4.68,2224,4.4,299
다니쉬,"7,964",4.6,1090,4.5,145
아베베베이커리,"2,825",4.6,4340,4.2,187
해비치호텔앤드리조트마고,0,4.58,28,4.4,17
벨룸리조트카페,0,0.0,0,5.0,1
프랑제리켄싱턴리조트중문점,0,0.0,100,5.0,2
더벤티해비치리조트점,15,0.0,272,5.0,4
호텔샌드,"15,438",0.0,0,3.9,56
해비치호텔앤드리조트마고,0,4.58,28,4.4,17
제주신라호텔바당,104,4.63,26,4.3,12
