place,insta,Naver_review_num,Naver_rate,kakao_rate,kakao_review_num
소정방폭포,5116,505,0.0,4.2,30
새별프렌즈,2140,701,4.17,4.2,56
사려니숲길관광안내소,0,0,0.0,4.7,15
종달리해변,2853,1,0.0,4.3,9
고근산,6458,487,0.0,4.6,25
사라오름,0,2,0.0,4.9,22
송당무끈모루,10422,0,0.0,4.1,19
성읍랜드,13391,1040,4.68,4.8,62
제주목관아,5100,353,4.33,4.3,24
한라산,1070213,217,4.47,4.7,81
하효쇠소깍해변,1066,80,0.0,4.4,20
강정천,6413,0,0.0,4.8,6
종달리수국길,17321,0,0.0,3.8,19
금능석물원,1824,165,4.33,4.7,30
민오름,4343,0,0.0,4.2,19
산물관광농원,104,608,0.0,4.8,19
한남리머체왓숲길,20,0,0.0,4.2,13
몽돌해변,51820,0,0.0,3.5,12
세기알해변,3622,0,0.0,4.9,10
오저여,1774,130,0.0,4.7,48
당산봉,6523,0,0.0,4.8,23
저지예술인마을,7210,0,0.0,4.0,5
붉은오름,15996,0,0.0,4.2,6
짱구네유채꽃밭,18603,11,4.5,3.6,11
서귀포천문과학문화관,1028,154,4.43,4.3,9
조천만세동산,1486,120,0.0,4.3,4
주상절리관광안내소,10,0,0.0,4.0,1
제주카페거리,6130,0,0.0,4.5,8
비양도망대,18,0,0.0,3.9,24
추사유배지,1567,34,0.0,4.0,13
사려니숲,44087,3379,0.0,5.0,10
도구리알,685,0,0.0,4.9,14
신흥해수욕장,0,55,0.0,4.4,13
월평마을아왜낭목쉼터,16,0,0.0,4.5,2
한라산둘레길수악길,32,0,0.0,5.0,1
한라산둘레길사려니숲길,11,0,0.0,4.1,7
산천단,1766,162,0.0,4.0,2
검은오름,2515,78,4.64,3.9,17
쇠머리오름,943,2,0.0,4.7,15
정물오름,3843,0,0.0,4.3,27
송악산전망대,356,0,0.0,4.9,23
산방산랜드,3326,0,0.0,4.7,15
종달리해안도로,5796,477,0.0,4.0,2
용두암인증센터,395,0,0.0,4.7,7
올티스,2948,0,0.0,4.8,32
화순곶자왈생태탐방숲길,643,387,0.0,3.8,18
한림공원협재굴,0,0,0.0,4.1,11
제주올레7코스여행자센터,0,0,0.0,5.0,3
이승이오름,1443,1,0.0,4.6,14
전농로왕벚꽃거리,46,0,0.0,4.7,6
갯깍주상절리대,3768,0,0.0,3.8,5
서우봉산책로,1381,0,0.0,5.0,5
부림온천,46,29,4.52,3.6,7
천아계곡,3154,0,0.0,4.6,5
천주교용수성지,0,0,0.0,4.7,3
월대천,3018,248,0.0,4.0,5
소금막해변,4461,1,0.0,4.8,23
돈내코계곡,8490,0,0.0,4.4,9
큰바리메,0,0,0.0,4.3,15
새섬,0,1,0.0,4.7,7
생이기정,1098,0,0.0,4.9,14
고스트타운,3939,319,0.0,3.8,31
설록다원도순,19,0,0.0,4.0,7
큰엉,8540,0,0.0,4.6,11
제지기오름,3872,5,0.0,4.5,15
화순곶자왈,0,387,0.0,3.9,7
보롬왓수국길,1942,0,0.0,3.7,3
제주삼나무길,49,0,0.0,5.0,5
한라산웃세붉은오름,0,0,0.0,5.0,4
제주올레1코스공식안내소,0,0,0.0,4.8,4
두산봉,2416,361,0.0,4.5,17
별도봉,7849,6,0.0,5.0,4
애월돌고래전망대,40,1,0.0,3.8,4
베릿내오름,1244,0,0.0,3.6,13
한라산국립공원어리목탐방로,0,0,0.0,4.0,5
윗세오름,67183,0,0.0,4.8,6
외돌개전망대,10,0,0.0,4.6,30
쉬리의언덕,1903,301,4.59,3.8,16
거슨세미오름,0,210,0.0,4.3,10
수산저수지,2528,0,0.0,5.0,3
제주커피수목원,1813,92,4.57,4.3,9
트로이테마농원,878,752,4.38,4.1,8
한림공원아열대식물원,14,0,0.0,4.2,5
제주웰컴센터,229,0,0.0,4.0,1
제주탐나라공화국,235,50,4.01,3.9,11
성산일출해양도립공원,7,20,4.66,4.7,89
김녕성세기해변인증센터,80,0,0.0,5.0,3
한남시험림탐방,53,0,0.0,4.8,4
1100고지습지람사르습지,0,0,0.0,4.4,19
산지천,7653,220,0.0,5.0,2
강정천유원지,202,0,0.0,3.6,11
알작지해변,4837,0,0.0,4.0,2
함덕서우봉해변인증센터,115,0,0.0,4.0,1
단산,7104,222,0.0,4.5,17
느지리오름,1458,1,0.0,4.1,14
녹차동굴,2312,0,0.0,5.0,2
섯알오름,1534,14,0.0,4.1,7
산양곶자왈,4483,553,0.0,4.1,14
대록산,1798,276,0.0,4.7,16
비블리아성서식물원,208,68,0.0,4.8,17
어음리억새군락지,623,0,0.0,4.3,3
월정리카페거리,41981,0,0.0,4.8,5
새미동산,632,0,0.0,4.0,2
귤의정원바령,997,50,0.0,5.0,7
남원용암해수풀장,472,0,0.0,5.0,6
일출랜드미천굴,46,2305,4.29,4.0,4
우도정원,0,14,4.0,4.5,4
위미동백나무군락,1050,0,0.0,3.5,4
루나폴,1977,161,0.0,5.0,3
제주성지,841,0,0.0,4.0,3
연북정,1499,159,0.0,3.7,6
절물오름,5808,0,0.0,4.4,11
오드싱오름,76,177,0.0,4.0,2
알오름,2068,0,0.0,4.6,27
수산한못,1667,0,0.0,4.3,3
돔베낭골,1044,3,0.0,4.4,7
절물자연휴양림장생의숲길,0,82,0.0,4.4,5
제주종달리전망대,13,0,0.0,4.7,14
영락리방파제,239,0,0.0,5.0,7
과물노천탕,833,0,0.0,4.2,10
제주올레19코스공식안내소,0,0,0.0,5.0,1
거린사슴전망대,1367,2,0.0,4.5,14
성산일출봉인증센터,239,0,0.0,4.7,3
다락쉼터인증센터,342,0,0.0,4.0,2
법환바당인증센터,292,0,0.0,5.0,1
황우치해변,1943,0,0.0,4.0,10
대수산봉,2137,183,0.0,4.3,21
황우지해안열두굴,181,0,0.0,4.5,4
라온쥬,333,725,0.0,4.7,7
잃어버린마을곤을동,24,0,0.0,4.9,10
광치기중간,11,0,0.0,4.5,14
삼매봉,1225,0,0.0,4.6,5
복자김기량순교현양비,0,0,0.0,5.0,3
왕이메,74,0,0.0,4.3,10
원당봉,2066,245,0.0,3.8,10
아라고나이트고온천,138,763,4.45,4.2,12
송악산진지동굴,377,0,0.0,4.5,10
식산봉,3133,3,0.0,3.6,7
송악산인증센터,344,0,0.0,3.8,4
세미양오름,392,78,0.0,4.0,16
서건도,4327,200,0.0,4.3,7
보목해안도로,58,0,0.0,5.0,2
올레요7쉼터,0,0,0.0,3.5,4
김녕금속공예벽화마을,990,152,0.0,3.7,6
선인장자생지,685,0,0.0,4.8,19
한라산정상안내소,0,0,0.0,5.0,1
감사공묘역,2527,277,0.0,5.0,8
수산봉둘레길,0,0,0.0,5.0,1
제주모슬포알뜨르비행장일제지하벙커,0,0,0.0,3.9,11
새별오름관광타운,0,0,0.0,4.5,2
치유의숲방문자센터,0,0,0.0,3.8,8
김녕사굴,277,18,0.0,3.7,3
제주올레16코스공식안내소,0,0,0.0,5.0,1
추억의숲길,746,0,0.0,4.8,9
솜반천,3280,0,0.0,4.3,3
한라산영실,896,0,0.0,5.0,2
표선해안도로,2210,0,0.0,4.5,2
붉은오름,15996,0,0.0,4.5,2
돛오름,178,1,0.0,4.4,18
형제섬,40054,453,0.0,5.0,2
제주곶자왈도립공원탐방안내소,0,0,0.0,4.6,5
한라산둘레길동백길,58,0,0.0,4.0,3
매오름,942,3,0.0,4.5,11
바농오름,1356,0,0.0,4.5,11
해거름마을공원인증센터,264,0,0.0,5.0,1
대정향교,0,1,0.0,4.7,3
제주올레5코스공식안내소,0,0,0.0,5.0,1
동검은이오름,1611,0,0.0,4.6,15
월라봉,2113,0,0.0,4.4,13
편백나무숲,38695,0,0.0,5.0,3
한라산둘레길돌오름길,16,0,0.0,5.0,3
당오름,2378,0,0.0,4.4,8
높은오름,1809,139,0.0,4.5,13
한라산국립공원돈내코탐방로,0,0,0.0,5.0,1
열리해안도로,24,0,0.0,3.7,3
안세미오름,0,0,0.0,4.3,14
무병장수테마파크,250,283,4.68,4.3,15
관곶,944,0,0.0,4.6,5
원물오름,1093,21,4.05,3.7,11
도두추억애거리,569,13,0.0,5.0,2
별도봉산책로,454,164,0.0,4.5,2
숫모르숲길,757,0,0.0,4.0,3
제주4.3안덕평화공원,0,0,0.0,3.7,3
송당본향당,0,83,0.0,4.7,3
개오름,1476,78,0.0,4.2,6
한라산둘레길천아숲길,150,0,0.0,3.5,6
범섬,48215,7,0.0,5.0,4
한라산사라오름산정호수,30,0,0.0,4.9,7
신화가든,315,30,0.0,4.0,2
모슬봉,1476,45,0.0,4.0,3
민오름,4344,0,0.0,3.8,4
고근산산책로,6,0,0.0,5.0,2
미악산,474,134,0.0,4.4,5
제주향농원,44,207,4.25,5.0,1
이중섭거주지,1341,0,0.0,4.0,4
족은노꼬메오름,1690,176,0.0,4.1,8
우뭇개해안,327,0,0.0,4.5,11
서우봉일몰지,11,0,0.0,4.5,16
정난주마리아묘,185,0,0.0,5.0,1
제주올레14코스공식안내소,0,0,0.0,5.0,2
개다리폭포,4,0,0.0,4.0,4
세리월드카트레이싱,20,0,0.0,3.5,6
톨칸이해변,240,0,0.0,4.0,2
다랑쉬굴,207,0,0.0,4.9,8
중엄새물,165,0,0.0,4.0,2
