place,address,Latitude,Longitude,category
풍미독서,제주특별자치도 제주시 구좌읍 세화합전2길 7,33.5137935,126.8591021,카페
선흘,제주특별자치도 제주시 조천읍 선교로 198,33.4857615,126.6993046,카페
스타벅스 제주시청점,제주특별자치도 제주시 중앙로 215,33.4814679,126.5411458,카페
카페유주,제주특별자치도 제주시 한림읍 한림상로 17 1층,33.405404,126.2574231,카페
달자카페,제주특별자치도 제주시 애월읍 애월해안로 738,33.4782235,126.3665625,카페
그레이그로브,제주특별자치도 서귀포시 안덕면 형제해안로 70,33.2258451,126.2999006,카페
바다위에코끼리,제주특별자치도 제주시 한림읍 협재1길 27-6 1층,33.3976864,126.2432576,카페
바라나시책골목,제주특별자치도 제주시 동한두기길 35-2 1층,33.5162969,126.5153031,카페
누옥,제주특별자치도 제주시 삼성로5길 21-1,33.508269,126.5287994,카페
동명정류장,제주특별자치도 제주시 한림읍 동명7길 26 1층,33.3971282,126.2663189,카페
알마커피제작소,"제주특별자치도 제주시 조천읍 북촌11길 23 1,2층",33.5502072,126.694852,카페
노바운더리 제주,제주특별자치도 서귀포시 표선면 번영로 2610 1층,33.3726822,126.7971235,카페
간세라운지,제주특별자치도 제주시 관덕로8길 7-9,33.5125989,126.5243823,카페
모앙,제주특별자치도 제주시 인다5길 12-4 1층,33.4743053,126.5480714,카페
회춘 애월점,제주특별자치도 제주시 애월읍 가문동길 80,33.4890946,126.3909279,카페
서귀피안베이커리,제주특별자치도 서귀포시 성산읍 신양로122번길 17 2층,33.4352867,126.9218661,카페
디피159,제주특별자치도 서귀포시 대포로 159 1층,33.239494,126.4379472,카페
스타벅스 제주외도DT점,제주특별자치도 제주시 일주서로 7300,33.3414039,126.1898997,카페
사일리커피,제주특별자치도 서귀포시 대정읍 최남단해안로 412,33.199919,126.276136,카페
에이바우트커피 한라대점,"제주특별자치도 제주시 한라대학로 39 1,2층",33.4772209,126.476779,카페
카카듀,제주특별자치도 제주시 박성내서길 18,33.4912951,126.5418406,카페
이에르바,제주특별자치도 제주시 조천읍 신촌남1길 33-8 1층,33.5274997,126.6189404,카페
무로이,제주특별자치도 서귀포시 안덕면 동광본동로 21,33.3077027,126.3367039,카페
조아찌커피,제주특별자치도 제주시 테우해안로 158 1층,33.4966887,126.4506551,카페
커피99.9,"제주특별자치도 제주시 1100로 3173 1,2층",33.4561511,126.48637,카페
롱플레이제주,제주특별자치도 제주시 구좌읍 동복로 44 1층,33.5530939,126.7110103,카페
너와의첫여행,제주특별자치도 제주시 애월읍 장소로 16,33.4505913,126.3842756,카페
인카페온더비치,제주특별자치도 제주시 구좌읍 해맞이해안로 943,33.5291668,126.8538817,카페
바람벽에흰당나귀,제주특별자치도 제주시 구좌읍 동복로 11,33.5538497,126.7076684,카페
델문도 로스터스,제주특별자치도 제주시 연삼로 316 MS빌딩 1층,33.4917912,126.5263903,카페
카페희상,제주특별자치도 서귀포시 표선면 표선동서로 324-18,33.3299649,126.838304,카페
순아,"제주특별자치도 제주시 관덕로 32-1 1,2층",33.5130604,126.5227848,카페
속솜,"제주특별자치도 제주시 구좌읍 해맞이해안로 1655 1,2층",33.5291668,126.8538817,카페
카페주비,제주특별자치도 제주시 도리로 84 1층,33.5008197,126.4643053,카페
그러므로,제주특별자치도 제주시 구남동6길 45,33.4875695,126.5364225,카페
인디고인디드,제주특별자치도 제주시 애월읍 애월해안로 204 1층,33.4782235,126.3665625,카페
우호적무관심,제주특별자치도 제주시 한경면 저지12길 103,33.3397466,126.261347,카페
하라케케,제주특별자치도 서귀포시 속골로 29-10 16호,33.2427503,126.5279492,카페
카페바르941,제주특별자치도 서귀포시 성산읍 환해장성로 941,33.4349796,126.9163156,카페
플레이스엉물,제주특별자치도 제주시 구좌읍 종달논길 92 1층,33.4925079,126.898571,카페
씨리얼,제주특별자치도 제주시 한림읍 명랑로 26 1층,33.414175,126.267655,카페
오버더윈도우,"제주특별자치도 서귀포시 태평로 379-1 2,3층",33.2452067,126.5614239,카페
다랑쉬,제주특별자치도 제주시 용문로21길 4,33.508907,126.5094692,카페
커피주의보,제주특별자치도 제주시 남광로 16,33.4979375,126.5462372,카페
너븐,제주특별자치도 서귀포시 칠십리로214번길 26,33.2452654,126.5741175,카페
바램,제주특별자치도 서귀포시 안덕면 신화역사로 611,33.3066927,126.3380858,카페
말리가,제주특별자치도 제주시 한림읍 협재로 124 1층,33.3870114,126.24897,카페
시인의집,제주특별자치도 제주시 조천읍 조천3길 27,33.5358808,126.634634,카페
숑,제주특별자치도 서귀포시 남원읍 공천포로 91,33.2664162,126.6428296,카페
