place,address
"오른(orrrn,오알엔)",제주특별자치도 서귀포시 성산읍 해맞이해안로 2714
살롱드라방,제주특별자치도 제주시 애월읍 하가로 146-9 1층
노을리카페,제주특별자치도 제주시 애월읍 애월해안로 654
모찌롱 (휴업중),제주특별자치도 제주시 관덕로6길 12 1층
카페오드리,제주특별자치도 제주시 한림읍 한창로 1294
블루모모,제주특별자치도 제주시 고산동산1길 9 1층
카페훤,"제주특별자치도 제주시 한림읍 협재1길 8 1,2층"
카페살레,"제주특별자치도 제주시 우도면 우도해안길 816 1,2층"
오늘도화창,제주특별자치도 제주시 구좌읍 월정5길 56 1층
제주몹시,제주특별자치도 제주시 월대1길 10 1층
카페송키,제주특별자치도 제주시 무근성안길 16 1층
리치망고 애월본점,제주특별자치도 제주시 애월읍 애월해안로 272
에이바우트커피 신라신성점,제주특별자치도 제주시 노연로 62 신성오피스텔 1층
위더스트래블 아라점,제주특별자치도 제주시 인다9길 29 1층
투썸플레이스 제주애월한담점,제주특별자치도 제주시 애월읍 애월로1길 19 지하1~2층
쉬리니케이크,제주특별자치도 제주시 애월읍 애납로 175 1층
소보리당로222,제주특별자치도 서귀포시 소보리당로 222
픽스커피 본점,제주특별자치도 제주시 신설로11길 2 1층
카페곁에,제주특별자치도 제주시 구좌읍 동복로3길 9 1층
어니스트밀크 본점,제주특별자치도 서귀포시 성산읍 중산간동로 3147-7
카페월령,제주특별자치도 제주시 한림읍 월령3길 36 나동 1층
비자블라썸,제주특별자치도 제주시 구좌읍 비자림로 2244 1층
블루마운틴 4255,제주특별자치도 서귀포시 성산읍 중산간동로 4255
토끼문,제주특별자치도 제주시 구좌읍 해맞이해안로 456 1~3층
봉꾸라주,제주특별자치도 서귀포시 신서로48번길 5 1층
고요새,제주특별자치도 제주시 선사로8길 11
스타벅스 제주삼화DT점,제주특별자치도 제주시 연삼로 884
에이바우트커피뷰 하귀포구점,제주특별자치도 제주시 애월읍 하귀12길 21-2
매기의추억,제주특별자치도 제주시 한림읍 한림해안로 595
카페인사리,제주특별자치도 제주시 구좌읍 일주동로 2806 2동 2층
카페동경앤책방,제주특별자치도 제주시 애월읍 하귀로 74 2층
김녕에사는김영훈,제주특별자치도 제주시 구좌읍 김녕로6길 2 1층
네이처캔버스,제주특별자치도 서귀포시 남원읍 중산간동로 7129
큐티파이카페,제주특별자치도 제주시 애월읍 애월해안로 610
고미미,제주특별자치도 제주시 북성로 67 1층
여섯번의보름,제주특별자치도 서귀포시 호근남로5번길 14-5
쉬어갓,제주특별자치도 서귀포시 성산읍 일주동로 5023 1층
노론존,제주특별자치도 제주시 도령로 50 2층
카페어떤오후,제주특별자치도 제주시 애월읍 상가북6길 13 1층
카페폴린,제주특별자치도 서귀포시 칠십리로 194 1층
리듬앤브루스,제주특별자치도 제주시 무근성7길 11
소라의성,제주특별자치도 서귀포시 칠십리로214번길 17-17
헤이브라더,제주특별자치도 서귀포시 안덕면 형제해안로 72
스타벅스 제주서해안로DT점,제주특별자치도 제주시 서해안로 624
카페아오오,"제주특별자치도 서귀포시 성산읍 환해장성로 75 1,2층"
리틀포레스트,제주특별자치도 서귀포시 월평로 15
카페코지,제주특별자치도 서귀포시 성산읍 한도로 200 2층
트라이브,제주특별자치도 제주시 애월읍 애월로 11
롱리브,제주특별자치도 제주시 아란3길 13-3 아라지엘지 1층 102호
카페미와,제주특별자치도 제주시 구좌읍 구좌로 51-1 2층
다린,제주특별자치도 서귀포시 법환로 11
도바나,제주특별자치도 서귀포시 남원읍 태위로 177
도을,제주특별자치도 제주시 조천읍 와흘리 125
60빈스,제주특별자치도 서귀포시 태평로120번길 29-2
꼬스뗀뇨,제주특별자치도 제주시 구좌읍 해맞이해안로 2080
오라디오라,제주특별자치도 서귀포시 안덕면 사계로114번길 54-102 2층
트로피컬하이드어웨이 브런치카페,제주특별자치도 서귀포시 대정읍 형제해안로 284
스테이솔티,제주특별자치도 제주시 구좌읍 해맞이해안로 480-1
아라파파 북촌점,제주특별자치도 제주시 조천읍 북촌15길 60
차귀놀,제주특별자치도 제주시 한경면 한경해안로 136 1층
스타벅스 서귀포올레점,제주특별자치도 서귀포시 중정로 69 동명백화점
코데인커피로스터스,제주특별자치도 서귀포시 안덕면 사계북로 76
카페빠네띠에,제주특별자치도 제주시 신설로9길 25 1층 카페빠네띠에
단정한까페,제주특별자치도 제주시 서광로28길 54 2층
우연히그곳,제주특별자치도 제주시 구좌읍 중산간동로 2250 1층
제주901,제주특별자치도 제주시 1100로 2977-10
비양놀,제주특별자치도 제주시 한림읍 한림해안로 311
엘리사,제주특별자치도 제주시 애월읍 가문동상2길 28 1층
카페루핀,제주특별자치도 서귀포시 대정읍 형제해안로 272 1층
스타벅스 제주에듀시티점,제주특별자치도 서귀포시 대정읍 에듀시티로 36
간이옥돔역 (휴업중),제주특별자치도 서귀포시 남원읍 남태해안로 484
디뷰,제주특별자치도 제주시 노형7길 9-16
수카사,제주특별자치도 제주시 구좌읍 행원로9길 11
꽃향유,제주특별자치도 제주시 애월읍 고하상로 101
미미슈,제주특별자치도 제주시 애월읍 중산간서로 5534
하늘꽃카페,제주특별자치도 서귀포시 대정읍 송악관광로 317
