,카페명,별점,별점갯수,insta,Naver_review,Naver_rate
88,망고레이섭지코지점,3.6,45,462,"['방문자리뷰 765', '블로그리뷰 470']",4.42
89,어제보다오늘,4.4,44,"7,376","['방문자리뷰 421', '블로그리뷰 209', '아메리카노', '카페라떼', '이글루티라미수', '복숭아무스']",4.47
90,비마이게스트,4.2,76,"5,814","['방문자리뷰 449', '블로그리뷰 341', '메뉴판 전체보기']",0.0
91,카페진정성종점,3.9,83,"4,411","['방문자리뷰 2,240', '블로그리뷰 1,259', '아메리카노', '에스프레소', '라떼', '플랫화이트']",4.44
92,빽다방베이커리제주사수점,4.3,124,19,"['방문자리뷰 7,123', '블로그리뷰 1,053', '앗메리카노', '달달연유라떼', '콜드브루', '바닐라라떼']",4.51
93,오늘의바다,4.7,46,"9,357","['방문자리뷰 240', '블로그리뷰 345', '오늘의 바다 소다', '쑥라떼(+인절미크림)', '녹차비엔나']",0.0
94,와랑와랑,4.3,59,"10,683","['방문자리뷰 414', '블로그리뷰 537', '아인슈페너(HOT)', '찰떡구이', '콜드브루 더치 커피', '바닐라 라떼 더치(HOT)']",4.52
95,카페그라나다,4.0,16,967,"['방문자리뷰 331', '블로그리뷰 320', '메뉴판 전체보기']",4.32
96,카페리,4.6,71,"14,421",a,0.0
97,사계생활,4.1,49,"6,389","['방문자리뷰 340', '블로그리뷰 407', '메뉴판 전체보기']",4.43
98,카페도두,4.3,25,"2,899","['방문자리뷰 123', '블로그리뷰 245', '레몬, 자몽, 블루베리 에이드', '수제과일청티', '리얼 아이스티', '아메리카노']",4.18
99,스타벅스성산일출봉점,3.5,46,"2,013","['방문자리뷰 4,551', '블로그리뷰 746']",4.45
100,에스프레소라운지,3.7,46,"16,950","['방문자리뷰 1,826', '블로그리뷰 726']",4.43
101,모모제이,3.5,35,"5,521","['방문자리뷰 339', '블로그리뷰 300']",4.43
102,5L2F(오엘이에프),4.4,57,0,"['방문자리뷰 432', '블로그리뷰 569', '메뉴판 전체보기']",4.63
103,서홍정원,4.4,44,"9,144","['방문자리뷰 252', '블로그리뷰 364', '커피', '에이드', '디저트']",4.48
104,스물다섯,4.9,32,"56,810","['방문자리뷰 90', '블로그리뷰 201', '아메리카노', '카페라떼', '북극곰라떼', '스물다섯커피']",4.66
105,컴플리트커피연동점,3.6,52,0,a,0.0
106,시루애월,3.5,52,"6,260","['방문자리뷰 417', '블로그리뷰 384', '브런치', '까르보나라', '아메리카노', '고르곤졸라 피자']",4.39
107,인스밀,3.5,85,"35,260","['방문자리뷰 2,446', '블로그리뷰 1,872', '보리개역', '바닐라빈 라떼', '보리 아이스크림', '아메리카노']",4.41
108,스타벅스제주노형점,4.2,30,136,"['방문자리뷰 3,321', '블로그리뷰 274']",4.52
109,Pickus피커스,4.8,20,0,"['방문자리뷰 484', '블로그리뷰 256', '메뉴판 전체보기']",4.44
110,제주설심당본점,3.9,18,23,"['방문자리뷰 663', '블로그리뷰 238', '메뉴판 전체보기']",4.23
111,듀포레,4.4,57,"3,611","['방문자리뷰 1,825', '블로그리뷰 538']",4.53
112,ABC베이커리,4.2,70,0,"['방문자리뷰 755', '블로그리뷰 422', '무화과캄파뉴', '에그타르트', '통밀건과일', '크로와상']",4.41
113,모카다방,4.2,45,"13,001","['방문자리뷰 189', '블로그리뷰 352', '커피', '빵,쿠키', '핫초코', '아이스초코']",4.56
114,호텔샌드,3.9,56,"15,438",a,0.0
115,그리울땐제주,3.8,46,"6,212","['방문자리뷰 266', '블로그리뷰 426', '메뉴판 전체보기']",0.0
116,카페블루하우스올레시장점,4.5,65,17,a,0.0
