place,insta,Naver_rate,Naver_review_num
카페정관헌,385,4.53,163
간세다리족욕카페,43,4.68,82
잔디공장,"23,329",4.59,181
카페사우다드,435,4.49,93
유티피커피,"1,430",0.0,0
제주소담,200,3.94,34
우연못,"2,715",4.68,185
가파도봄날에,41,4.48,194
이스틀리,"3,440",0.0,0
블라썸1407,"3,779",4.39,190
다카포카페,808,4.62,260
카페단단,"1,759",4.82,153
커피동굴,"1,801",0.0,1
카페지니,"5,530",4.43,443
레드브라운,"74,806",0.0,0
어글리딜리셔스,"4,123",4.46,230
딜레탕트,"2,965",4.92,484
감따남,"9,121",4.5,288
종달리746,"3,377",4.83,292
해비치불턱,196,4.13,304
목장카페밭디,"2,364",0.0,475
리치망고쇠소깍점,665,4.39,146
바다는안보여요,"4,353",4.53,90
플라이오조,"1,545",4.63,206
안녕구움,"1,587",4.66,53
나비정원,"10,227",4.58,160
아뽀밍고,"3,381",4.64,466
논짓물해수족욕카페,456,4.53,310
페이보리오리,"2,456",4.68,143
슈가탱크,"9,241",4.61,393
할로비치본점,575,0.0,0
고도,"7,033",0.0,0
산노루,"6,650",4.48,644
팡송,"1,150",4.81,258
초이당,"1,250",4.46,524
따소롬,"1,566",4.79,222
유람위드북스,"9,910",4.91,210
카페세러데이아일랜드,761,4.53,528
무상찻집(휴업중),0,0.0,0
소길다방,906,0.0,180
제주몽,812,0.0,0
카페을리,"2,639",4.57,346
에이바우트커피종합청사점,19,4.33,300
나이체,"1,202",4.9,139
에이바우트커피올레시장점,33,4.33,488
제주기와,"3,055",4.84,991
카페가드니아,966,4.59,135
헤이피피,"1,111",4.56,165
카페물결,991,4.63,252
제3공간,"2,727",4.58,77
제대가는길,"1,904",4.45,315
일월선셋비치,"3,861",4.37,640
오드랑베이커리,"15,945",4.5,9944
애월빵공장앤카페,951,4.35,4096
하멜,"6,029",4.55,1772
빵귿,"4,502",4.53,1171
덕인당보리빵,"1,297",4.39,1540
보래드베이커스,"6,426",4.68,2224
다니쉬,"7,964",4.6,1090
아베베베이커리,"2,825",4.6,4340
해비치호텔앤드리조트마고,0,4.58,28
벨룸리조트카페,0,0.0,0
프랑제리켄싱턴리조트중문점,0,0.0,100
더벤티해비치리조트점,15,0.0,272
호텔샌드,"15,438",0.0,0
해비치호텔앤드리조트마고,0,4.58,28
제주신라호텔바당,104,4.63,26
