,카페명,별점,별점갯수,insta,Naver_review,Naver_rate
80,복자씨연탄구이,4.4,621,"14,526","['방문자리뷰 2,566', '블로그리뷰 1,931', '흑돼지 근고기(600g)', '김치찌개', '백돼지 근고기(600g)']",4.3
81,로빙화,4.4,120,"10,825","['방문자리뷰 927', '블로그리뷰 525', '커피', '피자', '한라봉에이드', '비프버거세트']",4.51
82,은희네해장국함덕점,3.6,72,106,"['방문자리뷰 991', '블로그리뷰 241']",4.36
83,애월흑돼지애월그때그집본점,4.6,157,0,"['방문자리뷰 1,994', '블로그리뷰 1,190']",4.68
84,깡촌흑돼지,4.3,502,"9,602","['방문자리뷰 878', '블로그리뷰 1,123', '메뉴판 전체보기']",0.0
85,천짓골식당,4.1,103,"1,720","['방문자리뷰 891', '블로그리뷰 604', '돔베고기 흑돼지오겹(600g)', '돔베고기 백돼지오겹(600g)', '돔베고기 흑돼지오겹절반(300g)', '돔베고기 백돼지오겹절반(300g)']",4.48
86,바다속고등어쌈밥,3.7,86,"6,215","['방문자리뷰 1,845', '블로그리뷰 1,870', '메뉴판 전체보기']",0.0
87,가시식당,3.5,82,"4,040","['방문자리뷰 874', '블로그리뷰 706', '두루치기', '수육한접시', '순대백반', '순대한접시']",4.35
88,산지물본점,3.6,177,143,a,0.0
89,몬스터살롱,4.1,211,"13,251","['방문자리뷰 3,173', '블로그리뷰 1,826']",4.48
90,제주판타스틱버거,4.1,96,805,"['방문자리뷰 1,455', '블로그리뷰 1,152']",4.56
91,한림칼국수공항점,3.9,49,31,"['방문자리뷰 1,106', '블로그리뷰 633']",4.39
92,난드르바당,3.7,63,"8,385","['방문자리뷰 1,433', '블로그리뷰 905', '제주산 흑돼지 2인(600g)+된장찌개', '제주산 백돼지 2인(600g)+ 된장찌개', '새우(블랙타이거)', '제주산 성게 미역국']",4.43
93,갈치요리전문점만족한상회,4.6,119,0,"['방문자리뷰 1,094', '블로그리뷰 1,086', '메뉴판 전체보기']",4.83
94,남춘식당,4.2,95,"3,989","['방문자리뷰 860', '블로그리뷰 658']",4.43
95,진아떡집,4.5,129,"6,189",a,0.0
96,봉순이네흑돼지,4.0,150,"8,324","['방문자리뷰 2,909', '블로그리뷰 1,271', '흑돼지모듬한판 중', '흑돼지한근', '봉순이흑돼지정식', '수제양념갈비']",4.62
97,촌촌해녀촌,3.6,118,"1,196","['방문자리뷰 205', '블로그리뷰 289', '메뉴판 전체보기']",4.2
98,제주늘봄,3.6,12,883,"['방문자리뷰 546', '블로그리뷰 48', '갈비살(한우) 160g', '꽃갈비살(한우) 160g', '안창살 (한우) 160g', '생등심 (한우) 160g']",0.0
99,제주한라국수,3.7,75,"3,723","['방문자리뷰 1,083', '블로그리뷰 569']",4.28
100,곱들락,4.2,106,"17,407","['방문자리뷰 849', '블로그리뷰 866', '제주흑돼지2인', '제주한우갈비살', '제주한우양념갈비살', '제주산돼지양념갈비']",4.54
101,태광식당,3.8,81,"7,754","['방문자리뷰 1,096', '블로그리뷰 1,013', '돼지주물럭식사', '된장뚝배기', '옥돔구이식사', '한치물회식사']",4.35
102,안녕협재씨제주협재점,4.1,211,10,"['방문자리뷰 1,599', '블로그리뷰 1,397']",4.51
103,은희네해장국2호점,3.5,26,296,"['방문자리뷰 948', '블로그리뷰 413', '소고기해장국', '내장탕', '소주', '맥주']",4.39
104,제주약수터본점,4.6,125,145,a,0.0
105,오롯,4.3,85,"21,544",a,0.0
106,장수물식당,4.2,102,"4,027","['방문자리뷰 980', '블로그리뷰 851', '고기국수', '돔베고기']",4.39
107,닻,3.9,106,"20,329",a,0.0
108,황해식당,4.0,66,"3,676","['방문자리뷰 1,825', '블로그리뷰 1,244', '메뉴판 전체보기']",4.72
109,하원가흑돼지,4.9,149,"6,525","['방문자리뷰 370', '블로그리뷰 555']",4.73
110,정직한돈본점,4.4,169,191,"['방문자리뷰 1,758', '블로그리뷰 1,490']",4.66
111,골목,4.6,165,"246,665",a,0.0
112,만월당,4.1,181,"18,789","['방문자리뷰 2,199', '블로그리뷰 1,339']",4.59
113,고등어쌈밥,3.6,139,"10,996",a,0.0
114,공천포식당,4.0,154,"6,902","['방문자리뷰 1,377', '블로그리뷰 741', '한치물회(생물)', '한치물회(냉동)', '전복물회', '전복죽']",4.45
115,식당마요네즈,4.2,139,"3,324",a,0.0
116,순수한둠비,4.4,58,821,a,0.0
117,더꽃돈협재점,4.4,115,0,a,0.0
118,부촌,4.3,201,"3,014","['방문자리뷰 1,249', '블로그리뷰 503', '성게미역국정식', '갈치조림정식', '고등어구이']",4.41
119,제주본참숯불갈비,4.1,76,144,"['방문자리뷰 687', '블로그리뷰 466']",4.69
120,제주순풍신제주본점,3.6,49,0,a,0.0
121,제주육대표,4.2,48,563,"['방문자리뷰 560', '블로그리뷰 258']",4.64
122,오현돼지불백,4.1,63,412,"['방문자리뷰 925', '블로그리뷰 686', '한치+돼지불백(1人)', '낙지+돼지불백(1人)', '돼지불백(2인이상 주문가능)(1人)', '소불고기전골 (대)']",4.36
123,대춘해장국본점,4.4,77,152,"['방문자리뷰 1,198', '블로그리뷰 329', '해장국', '내장탕']",4.47
124,공항흑돼지시청그때그집,4.4,68,0,"['방문자리뷰 838', '블로그리뷰 666', '메뉴판 전체보기']",4.73
125,미스칠,4.1,61,"1,191","['방문자리뷰 776', '블로그리뷰 634']",4.34
126,용두암해촌,4.6,369,"6,657","['방문자리뷰 2,929', '블로그리뷰 871', '3인 SET2번(돔베고기제공)', '4인 SET(돔베고기제공)', '3인 SET1번(돔베고기제공)', '2인SET(돔베고기제공)']",4.65
127,제주국담,4.3,123,"2,241","['방문자리뷰 430', '블로그리뷰 401']",4.55
128,순천미향,4.4,154,"4,060","['방문자리뷰 1,904', '블로그리뷰 655']",4.68
129,88버거,4.1,259,"12,311","['방문자리뷰 3,865', '블로그리뷰 1,153']",4.71
130,돈블랙서귀포본점,4.5,79,42,"['방문자리뷰 1,708', '블로그리뷰 756', '메뉴판 전체보기']",4.85
131,바다를본돼지제주노형점,3.5,11,0,"['방문자리뷰 713', '블로그리뷰 1,090']",4.42
132,대기정,4.1,147,"6,820","['방문자리뷰 2,272', '블로그리뷰 1,684']",4.55
