,카페명,별점,별점갯수,insta,Naver_review,Naver_rate
78,호텔펄리플러스,3.9,8,0,"['방문자리뷰 31', '블로그리뷰 42']",4.55
79,르메인호텔,4.1,20,435,"['방문자리뷰 420', '블로그리뷰 130', '네이버예약', '인스타그램']",4.9
80,뜨레비호텔,3.8,6,0,"['방문자리뷰 42', '블로그리뷰 16', '네이버예약', '부킹닷컴', '모두', '블로그']",0.0
81,글래즈하임호텔,4.5,13,968,"['방문자리뷰 26', '블로그리뷰 116', '네이버예약', '웹사이트', '인스타그램']",4.11
82,일레인호텔,4.5,19,522,"['방문자리뷰 232', '블로그리뷰 188', '네이버예약']",4.59
83,호텔52,3.5,15,106,"['방문자리뷰 49', '블로그리뷰 26', '야놀자', '여기어때', '네이버예약']",0.0
84,라림부띠끄호텔,3.5,16,"1,632","['방문자리뷰 152', '블로그리뷰 320', '네이버예약']",4.47
85,파밀리아호텔,4.0,10,46,"['방문자리뷰 41', '블로그리뷰 85']",4.41
86,하이제주호텔,3.7,7,163,"['방문자리뷰 30', '블로그리뷰 16']",4.28
87,그랜드밀리언스호텔서귀포,4.1,19,0,"['방문자리뷰 244', '블로그리뷰 124']",4.44
88,오션패밀리호텔,3.5,33,198,"['방문자리뷰 118', '블로그리뷰 66', '네이버예약']",4.13
89,트로피컬하이드어웨이,4.2,15,"2,351","['방문자리뷰 76', '블로그리뷰 388', '메뉴판 전체보기']",4.49
90,제주자몽호텔,3.8,10,0,"['방문자리뷰 97', '블로그리뷰 71', '네이버예약']",4.73
91,참피온호텔,3.6,16,14,"['방문자리뷰 23', '블로그리뷰 50']",4.5
92,제주해군호텔,5.0,2,215,"['방문자리뷰 249', '블로그리뷰 18']",4.49
93,JW메리어트제주,5.0,4,0,['블로그리뷰 13'],0.0
94,썬랜드호텔,3.9,11,23,"['방문자리뷰 20', '블로그리뷰 19']",4.13
95,꼬뜨도르호텔,5.0,5,344,"['방문자리뷰 17', '블로그리뷰 40']",4
96,펠리시아호텔,5.0,11,26,"['방문자리뷰 34', '블로그리뷰 10', '네이버예약']",4.8
97,블루마운틴호텔,3.7,22,34,"['방문자리뷰 32', '블로그리뷰 46', '네이버예약']",4.05
98,라인호텔,4.4,8,911,"['방문자리뷰 13', '블로그리뷰 5']",0.0
99,호텔B,4.0,16,0,a,0.0
100,씨앤호텔,3.5,23,244,a,0.0
101,레슬리호텔,4.4,8,171,"['방문자리뷰 31', '블로그리뷰 36']",4.29
102,리벤시아풀빌라호텔,3.8,16,25,"['방문자리뷰 60', '블로그리뷰 116', '네이버예약', '인스타그램']",4.2
103,해리안호텔,5.0,11,54,"['방문자리뷰 63', '블로그리뷰 92', '네이버예약']",4.68
104,호텔연,3.9,14,165,a,0.0
105,천지연호텔,4.7,6,236,"['방문자리뷰 12', '블로그리뷰 67']",4.25
106,해마호텔,3.8,14,155,"['방문자리뷰 17', '블로그리뷰 28', '웹사이트']",3.95
107,더그랜드섬오름본관,4.1,43,0,a,0.0
108,런호텔,4.0,9,110,a,0.0
109,메르블루호텔,3.6,9,59,"['방문자리뷰 324', '블로그리뷰 94', '네이버예약']",4.6
110,파인힐호텔,3.8,12,130,a,0.0
111,씨클리프호텔제주,5.0,4,0,"['방문자리뷰 7', '블로그리뷰 19']",0.0
112,인덱스제이드림호텔,4.0,8,3,a,0.0
113,제이뷰호텔,4.0,3,260,"['방문자리뷰 5', '블로그리뷰 7']",0.0
114,베드라디오도두봉,5.0,9,111,"['방문자리뷰 17', '블로그리뷰 43', '부킹닷컴']",0.0
115,애월비치호텔,4.7,3,0,"['방문자리뷰 9', '블로그리뷰 6']",0.0
