,카페명,별점,별점갯수,insta,Naver_review,Naver_rate
223,산천단,4.0,2,1766,162,0.0
224,검은오름,3.9,17,2515,78,4.64
225,쇠머리오름,4.7,15,943,2,0.0
226,정물오름,4.3,27,3843,0,0.0
227,송악산전망대,4.9,23,356,0,0.0
228,산방산랜드,4.7,15,3326,0,0.0
229,종달리해안도로,4.0,2,5796,477,0.0
230,용두암인증센터,4.7,7,395,0,0.0
231,올티스,4.8,32,2948,0,0.0
232,화순곶자왈생태탐방숲길,3.8,18,643,387,0.0
233,한림공원협재굴,4.1,11,0,0,0.0
234,제주올레7코스여행자센터,5.0,3,0,0,0.0
235,이승이오름,4.6,14,1443,1,0.0
236,전농로왕벚꽃거리,4.7,6,46,0,0.0
237,갯깍주상절리대,3.8,5,3768,0,0.0
238,서우봉산책로,5.0,5,1381,0,0.0
239,부림온천,3.6,7,46,29,4.52
240,천아계곡,4.6,5,3154,0,0.0
241,천주교용수성지,4.7,3,0,0,0.0
242,월대천,4.0,5,3018,248,0.0
243,소금막해변,4.8,23,4461,1,0.0
244,돈내코계곡,4.4,9,8490,0,0.0
245,큰바리메,4.3,15,0,0,0.0
246,새섬,4.7,7,0,1,0.0
247,생이기정,4.9,14,1098,0,0.0
248,고스트타운,3.8,31,3939,319,0.0
249,설록다원도순,4.0,7,19,0,0.0
250,큰엉,4.6,11,8540,0,0.0
251,제지기오름,4.5,15,3872,5,0.0
252,화순곶자왈,3.9,7,0,387,0.0
253,보롬왓수국길,3.7,3,1942,0,0.0
254,제주삼나무길,5.0,5,49,0,0.0
255,한라산웃세붉은오름,5.0,4,0,0,0.0
256,제주올레1코스공식안내소,4.8,4,0,0,0.0
257,두산봉,4.5,17,2416,361,0.0
258,별도봉,5.0,4,7849,6,0.0
259,애월돌고래전망대,3.8,4,40,1,0.0
260,베릿내오름,3.6,13,1244,0,0.0
261,한라산국립공원어리목탐방로,4.0,5,0,0,0.0
262,윗세오름,4.8,6,67183,0,0.0
263,외돌개전망대,4.6,30,10,0,0.0
264,쉬리의언덕,3.8,16,1903,301,4.59
265,거슨세미오름,4.3,10,0,210,0.0
266,수산저수지,5.0,3,2528,0,0.0
267,제주커피수목원,4.3,9,1813,92,4.57
268,트로이테마농원,4.1,8,878,752,4.38
269,한림공원아열대식물원,4.2,5,14,0,0.0
270,제주웰컴센터,4.0,1,229,0,0.0
271,제주탐나라공화국,3.9,11,235,50,4.01
272,성산일출해양도립공원,4.7,89,7,20,4.66
273,김녕성세기해변인증센터,5.0,3,80,0,0.0
274,한남시험림탐방,4.8,4,53,0,0.0
275,1100고지습지람사르습지,4.4,19,0,0,0.0
276,산지천,5.0,2,7653,220,0.0
277,강정천유원지,3.6,11,202,0,0.0
278,알작지해변,4.0,2,4837,0,0.0
279,함덕서우봉해변인증센터,4.0,1,115,0,0.0
280,단산,4.5,17,7104,222,0.0
281,느지리오름,4.1,14,1458,1,0.0
282,녹차동굴,5.0,2,2312,0,0.0
283,섯알오름,4.1,7,1534,14,0.0
284,산양곶자왈,4.1,14,4483,553,0.0
285,대록산,4.7,16,1798,276,0.0
286,비블리아성서식물원,4.8,17,208,68,0.0
287,어음리억새군락지,4.3,3,623,0,0.0
288,월정리카페거리,4.8,5,41981,0,0.0
289,새미동산,4.0,2,632,0,0.0
290,귤의정원바령,5.0,7,997,50,0.0
291,남원용암해수풀장,5.0,6,472,0,0.0
292,일출랜드미천굴,4.0,4,46,2305,4.29
293,우도정원,4.5,4,0,14,4.0
294,위미동백나무군락,3.5,4,1050,0,0.0
295,루나폴,5.0,3,1977,161,0.0
296,제주성지,4.0,3,841,0,0.0
297,연북정,3.7,6,1499,159,0.0
298,절물오름,4.4,11,5808,0,0.0
299,오드싱오름,4.0,2,76,177,0.0
300,알오름,4.6,27,2068,0,0.0
301,수산한못,4.3,3,1667,0,0.0
302,돔베낭골,4.4,7,1044,3,0.0
303,절물자연휴양림장생의숲길,4.4,5,0,82,0.0
304,제주종달리전망대,4.7,14,13,0,0.0
305,영락리방파제,5.0,7,239,0,0.0
306,과물노천탕,4.2,10,833,0,0.0
307,제주올레19코스공식안내소,5.0,1,0,0,0.0
308,거린사슴전망대,4.5,14,1367,2,0.0
309,성산일출봉인증센터,4.7,3,239,0,0.0
310,다락쉼터인증센터,4.0,2,342,0,0.0
311,법환바당인증센터,5.0,1,292,0,0.0
312,황우치해변,4.0,10,1943,0,0.0
313,대수산봉,4.3,21,2137,183,0.0
314,황우지해안열두굴,4.5,4,181,0,0.0
315,라온쥬,4.7,7,333,725,0.0
316,잃어버린마을곤을동,4.9,10,24,0,0.0
317,광치기중간,4.5,14,11,0,0.0
318,삼매봉,4.6,5,1225,0,0.0
319,복자김기량순교현양비,5.0,3,0,0,0.0
320,왕이메,4.3,10,74,0,0.0
321,원당봉,3.8,10,2066,245,0.0
322,아라고나이트고온천,4.2,12,138,763,4.45
323,송악산진지동굴,4.5,10,377,0,0.0
324,식산봉,3.6,7,3133,3,0.0
325,송악산인증센터,3.8,4,344,0,0.0
326,세미양오름,4.0,16,392,78,0.0
327,서건도,4.3,7,4327,200,0.0
328,보목해안도로,5.0,2,58,0,0.0
329,올레요7쉼터,3.5,4,0,0,0.0
330,김녕금속공예벽화마을,3.7,6,990,152,0.0
331,선인장자생지,4.8,19,685,0,0.0
332,한라산정상안내소,5.0,1,0,0,0.0
333,감사공묘역,5.0,8,2527,277,0.0
334,수산봉둘레길,5.0,1,0,0,0.0
335,제주모슬포알뜨르비행장일제지하벙커,3.9,11,0,0,0.0
336,새별오름관광타운,4.5,2,0,0,0.0
337,치유의숲방문자센터,3.8,8,0,0,0.0
338,김녕사굴,3.7,3,277,18,0.0
339,제주올레16코스공식안내소,5.0,1,0,0,0.0
340,추억의숲길,4.8,9,746,0,0.0
341,솜반천,4.3,3,3280,0,0.0
342,한라산영실,5.0,2,896,0,0.0
343,표선해안도로,4.5,2,2210,0,0.0
344,붉은오름,4.5,2,15996,0,0.0
345,돛오름,4.4,18,178,1,0.0
346,형제섬,5.0,2,40054,453,0.0
347,제주곶자왈도립공원탐방안내소,4.6,5,0,0,0.0
348,한라산둘레길동백길,4.0,3,58,0,0.0
349,매오름,4.5,11,942,3,0.0
350,바농오름,4.5,11,1356,0,0.0
351,해거름마을공원인증센터,5.0,1,264,0,0.0
352,대정향교,4.7,3,0,1,0.0
353,제주올레5코스공식안내소,5.0,1,0,0,0.0
354,동검은이오름,4.6,15,1611,0,0.0
355,월라봉,4.4,13,2113,0,0.0
356,편백나무숲,5.0,3,38695,0,0.0
357,한라산둘레길돌오름길,5.0,3,16,0,0.0
358,당오름,4.4,8,2378,0,0.0
359,높은오름,4.5,13,1809,139,0.0
360,한라산국립공원돈내코탐방로,5.0,1,0,0,0.0
361,열리해안도로,3.7,3,24,0,0.0
362,안세미오름,4.3,14,0,0,0.0
363,무병장수테마파크,4.3,15,250,283,4.68
364,관곶,4.6,5,944,0,0.0
365,원물오름,3.7,11,1093,21,4.05
366,도두추억애거리,5.0,2,569,13,0.0
367,별도봉산책로,4.5,2,454,164,0.0
368,숫모르숲길,4.0,3,757,0,0.0
369,제주4.3안덕평화공원,3.7,3,0,0,0.0
370,송당본향당,4.7,3,0,83,0.0
371,개오름,4.2,6,1476,78,0.0
372,한라산둘레길천아숲길,3.5,6,150,0,0.0
373,범섬,5.0,4,48215,7,0.0
374,한라산사라오름산정호수,4.9,7,30,0,0.0
375,신화가든,4.0,2,315,30,0.0
376,모슬봉,4.0,3,1476,45,0.0
377,민오름,3.8,4,4344,0,0.0
378,고근산산책로,5.0,2,6,0,0.0
379,미악산,4.4,5,474,134,0.0
380,제주향농원,5.0,1,44,207,4.25
381,이중섭거주지,4.0,4,1341,0,0.0
382,족은노꼬메오름,4.1,8,1690,176,0.0
383,우뭇개해안,4.5,11,327,0,0.0
384,서우봉일몰지,4.5,16,11,0,0.0
385,정난주마리아묘,5.0,1,185,0,0.0
386,제주올레14코스공식안내소,5.0,2,0,0,0.0
387,개다리폭포,4.0,4,4,0,0.0
388,세리월드카트레이싱,3.5,6,20,0,0.0
389,톨칸이해변,4.0,2,240,0,0.0
390,다랑쉬굴,4.9,8,207,0,0.0
391,중엄새물,4.0,2,165,0,0.0
